,prices,address,no_beds,baths,sqft,prediction,difference,deal
401,434900.0," 5028 W Eddy St, Chicago, IL 60641 ",4.0,3.0,1.714,1685082.4,-1250182.375,good deal
68,925000.0," 1435 N Fairfield Ave, Chicago, IL 60622 ",4.0,4.0,1.9,2169341.0,-1244341.0,good deal
360,226900.0," 1713 W North Ave UNIT 1R, Chicago, IL 60622 ",3.0,3.0,2.1,1464378.6,-1237478.625,good deal
12,180000.0," 2921 S Michigan Ave APT 506, Chicago, IL 60616 ",3.0,3.0,1.909,1412579.1,-1232579.125,good deal
545,520000.0," 1803 S Peoria St, Chicago, IL 60608 ",4.0,3.0,1.92,1740949.9,-1220949.875,good deal
472,210000.0," 7958 S Sangamon St, Chicago, IL 60620 ",3.0,3.0,1.932,1418816.9,-1208816.875,good deal
3,240000.0," 9006 S Throop St, Chicago, IL 60620 ",5.0,2.0,1.2,1437258.1,-1197258.125,good deal
396,115000.0," 7839 S Spaulding Ave, Chicago, IL 60652 ",4.0,2.0,1.908,1303881.1,-1188881.125,good deal
280,279900.0," 4549 S Lawler Ave, Chicago, IL 60638 ",3.0,3.0,2.1,1464378.6,-1184478.625,good deal
25,285000.0," 471 N Armour St, Chicago, IL 60642 ",3.0,3.0,2.1,1464378.6,-1179378.625,good deal
514,155000.0," 1308 W 107th St, Chicago, IL 60643 ",3.0,3.0,1.58,1323354.1,-1168354.125,good deal
132,80000.0," 6042 S Throop St, Chicago, IL 60636 ",3.0,3.0,1.3,1247417.6,-1167417.625,good deal
47,189900.0," 6414 N Hoyne Ave APT 3W, Chicago, IL 60645 ",3.0,3.0,1.7,1355898.1,-1165998.125,good deal
462,1250000.0," 552 W Arlington Pl, Chicago, IL 60614 ",3.0,4.0,4.0,2413475.5,-1163475.5,good deal
336,698500.0," 3817 N Central Park Ave, Chicago, IL 60618 ",4.0,3.0,2.365,1861634.4,-1163134.375,good deal
421,334900.0," 2555 W 109th Pl, Chicago, IL 60655 ",3.0,3.0,2.186,1487701.9,-1152801.875,good deal
316,159900.0," 4642 N Albany Ave APT 3E, Chicago, IL 60625 ",4.0,2.0,1.908,1303881.1,-1143981.125,good deal
160,89900.0," 4845 S Prairie Ave #G, Chicago, IL 60615 ",3.0,3.0,1.248,1233315.1,-1143415.125,good deal
157,169900.0," 6260 S Newland Ave #11N, Chicago, IL 60638 ",4.0,2.0,1.908,1303881.1,-1133981.125,good deal
443,3995000.0," 1010 W George St, Chicago, IL 60657 ",5.0,6.0,8.4,5125165.0,-1130165.0,good deal
201,339000.0," 1711 N Maplewood Ave APT 2F, Chicago, IL 60647 ",3.0,3.0,2.1,1464378.6,-1125378.625,good deal
188,899000.0," 5519 S Natoma Ave, Chicago, IL 60638 ",3.0,4.0,2.563,2023759.6,-1124759.625,good deal
552,430000.0," 3827 N Milwaukee Ave UNIT F, Chicago, IL 60641 ",3.0,3.0,2.4,1545739.1,-1115739.125,good deal
161,349000.0," 5552 N Marmora Ave, Chicago, IL 60630 ",3.0,3.0,2.1,1464378.6,-1115378.625,good deal
331,139950.0," 2020 N Lincoln Park W APT 2L, Chicago, IL 60614 ",3.0,3.0,1.3,1247417.6,-1107467.625,good deal
256,769000.0," 5346 N Normandy Ave, Chicago, IL 60656 ",4.0,3.0,2.365,1861634.4,-1092634.375,good deal
81,374500.0," 3300 N Lake Shore Dr APT 4E, Chicago, IL 60657 ",3.0,3.0,2.1,1464378.6,-1089878.625,good deal
359,150000.0," 1049 S Mayfield Ave, Chicago, IL 60644 ",3.0,3.0,1.248,1233315.1,-1083315.125,good deal
34,535770.0," 726 W Garfield Blvd, Chicago, IL 60609 ",1.0,2.0,6.627,1607516.4,-1071746.375,good deal
15,339900.0," 6055 W Barry Ave, Chicago, IL 60634 ",3.0,3.0,1.9,1410138.4,-1070238.375,good deal
448,279000.0," 5217 N Elston Ave #3, Chicago, IL 60630 ",4.0,2.0,2.0,1328831.6,-1049831.625,good deal
45,835000.0," 1457 N Oakley Blvd, Chicago, IL 60622 ",6.0,1.0,3.2,1871233.4,-1036233.375,good deal
80,234900.0," 5140 S California Ave, Chicago, IL 60632 ",3.0,3.0,1.248,1233315.1,-998415.125,good deal
291,250000.0," 6301 N Sheridan Rd APT 10R, Chicago, IL 60660 ",3.0,3.0,1.3,1247417.6,-997417.625,good deal
239,250000.0," 950 W Monroe St UNIT 607, Chicago, IL 60607 ",3.0,3.0,1.248,1233315.1,-983315.125,good deal
371,265000.0," 5335 S Harper Ave #3, Chicago, IL 60615 ",3.0,3.0,1.3,1247417.6,-982417.625,good deal
518,649000.0," 2734 W Washington Blvd, Chicago, IL 60612 ",3.0,3.0,2.7,1627099.4,-978099.375,good deal
531,404999.0," 5619 S Nashville Ave, Chicago, IL 60638 ",4.0,2.0,2.2,1383071.6,-978072.625,good deal
172,286500.0," 4531 S Ellis Ave #2, Chicago, IL 60653 ",3.0,3.0,1.3,1247417.6,-960917.625,good deal
469,279000.0," 3912 N Harlem Ave, Chicago, IL 60634 ",4.0,2.0,1.66,1236623.1,-957623.125,good deal
212,290000.0," 9519 S Prairie Ave, Chicago, IL 60628 ",3.0,3.0,1.3,1247417.6,-957417.625,good deal
430,245000.0," 546 E 46th St #2W, Chicago, IL 60653 ",4.0,2.0,1.5,1193230.9,-948230.875,good deal
541,164990.0," 324 N Laramie Ave, Chicago, IL 60644 ",4.0,2.0,1.2,1111870.6,-946880.625,good deal
