prices,address,no_beds,baths,sqft
230000.0," 8 W Monroe St APT 1100, Chicago, IL 60603 ",6.0,5.0,3700.0
375000.0," 645 N Kingsbury St APT 1001, Chicago, IL 60654 ",3.0,4.0,2500.0
525000.0," 2411 W Walton St APT 3C, Chicago, IL 60622 ",1.0,,
399900.0," 1454 N Milwaukee Ave APT 2N, Chicago, IL 60622 ",,,
449500.0," 3037 N Racine Ave #2, Chicago, IL 60657 ",2.0,2.0,1450.0
223900.0," 4430 N Winchester Ave #G, Chicago, IL 60640 ",2.0,2.0,
105000.0," 9205 S State St, Chicago, IL 60619 ",2.0,2.0,1000.0
800000.0," 1214 N La Salle Dr, Chicago, IL 60610 ",4.0,2.0,1908.0
25000.0," 543 E 92nd St, Chicago, IL 60619 ",4.0,3.0,
614900.0," 2133 N Campbell Ave #1B, Chicago, IL 60647 ",2.0,2.0,1500.0
9900000.0," 159 E Walton Pl APT 31A, Chicago, IL 60611 ",3.0,3.0,1248.0
339000.0," 1711 N Maplewood Ave APT 2F, Chicago, IL 60647 ",3.0,3.0,2100.0
269900.0," 4435 S Oakenwald Ave UNIT 1, Chicago, IL 60653 ",2.0,2.0,
350000.0," 222 N Columbus Dr APT 1603, Chicago, IL 60601 ",3.0,2.0,1040.0
260000.0," 1445 N State Pkwy APT 1705, Chicago, IL 60610 ",4.0,3.0,3445.0
9950000.0," 1521 N State Pkwy, Chicago, IL 60610 ",3.0,3.0,
250000.0," 208 W Washington St APT 1208, Chicago, IL 60606 ",3.0,2.0,2300.0
595000.0," 1755 N Hermitage Ave APT F, Chicago, IL 60622 ",3.0,2.0,1335.0
219900.0," 5000 N Marine Dr #4F, Chicago, IL 60640 ",3.0,2.0,2277.0
339000.0," 3217 W Leland Ave APT 1W, Chicago, IL 60625 ",2.0,2.0,1196.0
510000.0," 1428 W Cortez St #1E, Chicago, IL 60642 ",2.0,2.0,1200.0
510000.0," 2124 W Division St APT 2, Chicago, IL 60622 ",2.0,2.0,
290000.0," 9519 S Prairie Ave, Chicago, IL 60628 ",3.0,3.0,1300.0
349900.0," 1954 W 21st Pl, Chicago, IL 60608 ",1.0,,
399900.0," 3522 N Nordica Ave, Chicago, IL 60634 ",9.0,8.0,
225000.0," 314 N Waller Ave, Chicago, IL 60644 ",3.0,2.0,1241.0
269900.0," 4447 N Malden St APT G, Chicago, IL 60640 ",4.0,3.0,2365.0
175000.0," 2938 W Fillmore St #200, Chicago, IL 60612 ",3.0,1.0,1040.0
232500.0," 900 W Margate Ter #2C, Chicago, IL 60640 ",4.0,1.0,1296.0
149900.0," 4821 N Sawyer Ave #G, Chicago, IL 60625 ",3.0,1.0,1000.0
249000.0," 3963 W Belmont Ave UNIT 518, Chicago, IL 60618 ",2.0,2.0,1000.0
299900.0," 8 W Monroe St APT 1509, Chicago, IL 60603 ",5.0,2.0,2472.0
54900.0," 4281 W 76th St #101, Chicago, IL 60652 ",1.0,,
239900.0," 4834 N Kenmore Ave APT GN, Chicago, IL 60640 ",4.0,4.0,1655.0
499900.0," 1922 N Karlov Ave, Chicago, IL 60639 ",8.0,3.0,
188000.0," 1524 W Fargo Ave #3S, Chicago, IL 60626 ",2.0,1.0,
295000.0," 50 E 26th St APT 406, Chicago, IL 60616 ",3.0,2.0,1135.0
125000.0," 700 W Bittersweet Pl APT 904, Chicago, IL 60613 ",3.0,4.0,2563.0
200000.0," 20 N State St APT 803, Chicago, IL 60602 ",1.0,,
229000.0," 1616 S Kedvale Ave, Chicago, IL 60623 ",6.0,5.0,3700.0
4500000.0," 5026 S Greenwood Ave, Chicago, IL 60615 ",3.0,4.0,2500.0
109900.0," 5717 N Kimball Ave APT 1S, Chicago, IL 60659 ",1.0,,
390000.0," 732 S Financial Pl APT 105, Chicago, IL 60605 ",,,
789000.0," 1741 N Kedzie Ave, Chicago, IL 60647 ",2.0,2.0,1450.0
575000.0," 1334 N Dean St #2, Chicago, IL 60622 ",2.0,2.0,
155000.0," 7928 S Blackstone Ave, Chicago, IL 60619 ",2.0,2.0,1000.0
549000.0," 433 W Briar Pl APT 8C, Chicago, IL 60657 ",4.0,2.0,1908.0
349000.0," 549 W Belden Ave APT 1RE, Chicago, IL 60614 ",4.0,3.0,
659900.0," 4556 N Damen Ave, Chicago, IL 60625 ",2.0,2.0,1500.0
250000.0," 950 W Monroe St UNIT 607, Chicago, IL 60607 ",3.0,3.0,1248.0
894000.0," 1726 W Jarvis Ave, Chicago, IL 60626 ",3.0,3.0,2100.0
272000.0," 6637 S Rhodes Ave, Chicago, IL 60637 ",2.0,2.0,
189000.0," 3032 W North Ave APT G, Chicago, IL 60647 ",3.0,2.0,1040.0
289000.0," 4822 S Dorchester Ave APT 2, Chicago, IL 60615 ",4.0,3.0,3445.0
217000.0," 7739 S Hermitage Ave, Chicago, IL 60620 ",3.0,3.0,
470000.0," 1541 N Talman Ave #1, Chicago, IL 60622 ",3.0,2.0,2300.0
349000.0," 2558 W Haddon Ave #1, Chicago, IL 60622 ",3.0,2.0,1335.0
735000.0," 2245 N Rockwell St #4, Chicago, IL 60647 ",3.0,2.0,2277.0
400000.0," 1110 N Lake Shore Dr APT 31S, Chicago, IL 60611 ",2.0,2.0,1196.0
340000.0," 9707 S Winchester Ave, Chicago, IL 60643 ",2.0,2.0,1200.0
265850.0," 914 W Leland Ave #3W, Chicago, IL 60640 ",2.0,2.0,
329900.0," 235 W Van Buren St UNIT 3403, Chicago, IL 60607 ",3.0,3.0,1300.0
349000.0," 400 N La Salle Dr APT 1707, Chicago, IL 60654 ",1.0,,
32000.0," 9431 S Normal Ave, Chicago, IL 60620 ",9.0,8.0,
595000.0," 680 N Peoria St #D, Chicago, IL 60642 ",2.0,2.0,1438.0
164900.0," 7735 S Calumet Ave, Chicago, IL 60619 ",3.0,2.0,1241.0
769000.0," 5346 N Normandy Ave, Chicago, IL 60656 ",4.0,3.0,2365.0
210000.0," 1443 N Washtenaw Ave APT 2F, Chicago, IL 60622 ",3.0,1.0,1040.0
139950.0," 2800 N Pine Grove Ave UNIT 5J, Chicago, IL 60657 ",4.0,1.0,1296.0
285000.0," 4424 S Indiana Ave APT 3N, Chicago, IL 60653 ",3.0,1.0,1000.0
100000.0," 8835 S Indiana Ave, Chicago, IL 60619 ",2.0,2.0,1000.0
305000.0," 3255 N Greenview Ave APT 2R, Chicago, IL 60657 ",5.0,2.0,2472.0
35000.0," 4800 S Lake Park Ave APT 2412, Chicago, IL 60615 ",1.0,,
1475000.0," 533 N Marshfield Ave, Chicago, IL 60622 ",4.0,4.0,1655.0
245000.0," 8545 S Justine St, Chicago, IL 60620 ",8.0,3.0,
229900.0," 340 W Superior St APT 1006, Chicago, IL 60654 ",2.0,1.0,
229000.0," 2853 W Congress Pkwy, Chicago, IL 60612 ",3.0,2.0,1135.0
288800.0," 4427 N Merrimac Ave, Chicago, IL 60630 ",3.0,4.0,2563.0
374900.0," 5751 N Oriole Ave, Chicago, IL 60631 ",1.0,,
